station_id,name,short_name,latitude,longitude,region_id,rental_methods,capacity,eightd_has_key_dispenser,num_bikes_available,num_bikes_disabled,num_docks_available,num_docks_disabled,is_installed,is_renting,is_returning,eightd_has_available_keys,last_reported
3462,E 44 St & 2 Ave,6422.09,40.751183874632773,-73.971387147903442,71,"CREDITCARD,KEY",39,false,0,39,0,0,true,true,true,false,2021-11-09T00:00:00
3623,W 120 St & Claremont Ave,7745.07,40.8109494,-73.9634,71,"CREDITCARD,KEY",39,false,0,0,39,0,true,true,true,false,2021-11-09T00:00:00
3724,7 Ave & Central Park South,6912.01,40.7667405590595,-73.9790689945221,71,"CREDITCARD,KEY",39,false,0,0,39,0,true,true,true,false,2021-11-09T00:00:00
4072,W 48 St & Rockefeller Plaza,6667.10,40.757936462436739,-73.979602754116058,71,"CREDITCARD,KEY",40,false,0,0,40,0,true,true,true,false,2021-11-08T00:00:00
3443,W 52 St & 6 Ave,6740.01,40.76132983124814,-73.979820013046265,71,"CREDITCARD,KEY",41,false,0,0,41,0,true,true,true,false,2021-11-09T00:00:00
4058,Madison Av & E 51 St,6659.09,40.75863,-73.97513,71,"CREDITCARD,KEY",41,false,0,0,41,0,true,true,true,false,2021-11-09T00:00:00
4676,E 41 St & Madison Ave (SE corner),6432.10,40.752049,-73.979635,71,"CREDITCARD,KEY",42,false,0,2,40,0,true,true,true,false,2021-11-09T00:00:00
367,E 53 St & Lexington Ave,6617.09,40.75828065,-73.97069431,71,"CREDITCARD,KEY",43,false,0,0,43,0,true,true,true,false,2021-11-09T00:00:00
3163,Central Park West & W 68 St,7079.06,40.7734066,-73.97782542,71,"CREDITCARD,KEY",43,false,0,0,0,43,false,false,false,false,2021-11-03T00:00:00
3536,W 116 St & Broadway,7713.11,40.8082,-73.9641,71,"CREDITCARD,KEY",43,false,0,0,43,0,true,true,true,false,2021-11-09T00:00:00
4232,6 Ave & W 45 St,6593.15,40.756951,-73.982631,71,"CREDITCARD,KEY",45,false,0,1,44,0,true,true,true,false,2021-11-09T00:00:00
3731,W 47 St & 6 Ave,6667.04,40.758397,-73.98255,71,"CREDITCARD,KEY",46,false,0,0,46,0,true,true,true,false,2021-11-09T00:00:00
4519,Hoboken Terminal - River St & Hudson Pl,HB102,40.7360676564825,-74.029127061367035,311,"CREDITCARD,KEY",46,false,0,2,44,0,true,true,true,false,2021-11-08T00:00:00
4641,Broadway & W 38 St,6560.15,40.7529728216068,-73.987348973751068,71,"CREDITCARD,KEY",46,false,0,0,46,0,true,true,true,false,2021-11-09T00:00:00
4647,W 168th S & Fort Washington Ave,8226.07,40.84210236102173,-73.9422395825386,71,"CREDITCARD,KEY",48,false,0,0,48,0,true,true,true,false,2021-11-08T00:00:00
2006,Central Park S & 6 Ave,6876.04,40.76590936,-73.97634151,71,"CREDITCARD,KEY",49,false,0,2,47,0,true,true,true,false,2021-11-09T00:00:00
442,W 27 St & 7 Ave,6247.06,40.746647,-73.993915,71,"CREDITCARD,KEY",51,false,0,0,51,0,true,true,true,false,2021-11-09T00:00:00
